-26.70248,80.27735,66.11297
-49.14323,66.49346,56.99331
-32.41285,58.73136,84.01755
-66.42779,45.30121,46.92363
-57.50687,40.25485,69.4054
-44.1952,32.65901,87.42673
-24.88435,32.46113,102.1138
-75.29194,18.58145,39.14097
-69.1299,12.14851,66.6287
-52.83044,5.655746,86.97328
-27.84781,1.35364,107.3742
-74.52774,-7.617279,33.56299
-72.46665,-17.4944,60.73799
-55.10593,-22.45364,86.01399
-30.35601,-28.60678,101.9828
-72.21,-35.12663,29.07837
-67.3429,-43.20528,52.21143
-53.34915,-48.27046,75.63674
-30.77322,-56.20812,89.21651
-61.8182,-57.30043,21.99725
-54.98286,-65.90886,41.84078
-44.52876,-70.51332,59.66557
-24.5693,-76.91601,70.69764
-32.58484,-85.55988,39.41543
-46.80664,-75.88867,15.7343
-27.08112,-89.50205,15.38303
1.459187,84.04467,70.9848
-0.589662,62.85628,94.07312
-0.4331166,33.37553,108.7013
-0.7102399,0.5214612,114.9166
-1.310529,-32.53624,110.4858
-2.908159,-61.77734,97.06646
-2.102357,-80.10716,72.22931
-3.0,-92.11116,44.63137
-4.354661,-93.36458,13.32013
30.51597,78.03817,66.11456
33.01083,55.70051,84.72178
50.87315,62.34833,53.38463
23.2359,30.31757,104.7308
43.48215,32.49335,88.47443
58.71148,35.78629,68.45532
65.08661,41.55335,44.17443
27.47747,-1.933991,106.6924
51.63497,2.546617,87.50923
68.32466,8.447221,65.27499
69.85523,15.35282,39.12494
27.28008,-28.93031,101.5272
54.07632,-26.98319,84.59609
71.66423,-19.60567,57.4418
71.71406,-9.755149,30.0
26.50147,-57.99004,89.00771
49.01238,-53.32954,72.67722
64.59498,-45.19672,49.11345
69.38289,-34.66583,22.00389
21.21869,-77.67708,69.30796
39.66548,-72.52043,58.31838
50.98669,-67.03971,37.71189
58.40283,-57.0376,16.05832
26.29314,-86.5595,40.81722
20.73897,-88.54105,14.29422
39.41966,-76.59256,11.84728
