FP1
AF7
AF3
F7
F5
F3
F1
FT7
FC5
FC3
FC1
T7
C5
C3
C1
TP7
CP5
CP3
CP1
P7
P5
P3
P1
PO3
PO7
O1
FPz
AFz
Fz
FCz
Cz
CPz
Pz
POz
Oz
FP2
AF4
AF8
F2
F4
F6
F8
FC2
FC4
FC6
FT8
C2
C4
C6
T8
CP2
CP4
CP6
TP8
P2
P4
P6
P8
PO4
O2
PO8
